"Item","Description","Quantity","Cost","Price"
"MOTHERBOARD:B450 GIGABYTE S2H V2","GIGABYTE B450S2H V2 AMD SOCKET AM4 2 DDR4 2-CH/ PCI-EX 16/MICRO ATX USB 3.1 GEN 1/ M.2 SOCKET 3 ...",0,4121.25,4631.50
"MOTHERBOARD:B450M-HD BATTLE-AX V14 COLORFUL","COLORFUL B450M-HD BATTLE-AX V14 | AM4 | DUAL DDR4 | HDMI, DVI-D, D-SUB | 1*M.2 | MICRO-ATX",0,3996.00,4440.00
"MOTHERBOARD:B450M GIGABYTE DS3H V2","GIGABYTE GA- B450M - DS3H- V2 SOCKET AM4 DDR4 MATX MOTHERBOARD |1 YEAR WARRANTY | 1 WEEK REPLACE...",0,4232.80,4617.60
"MOTHERBOARD:B450M PRO-VDH MAX MSI","MSI B450M PRO-VDH MAX | AM4 | PCI EXPRESS 3.0 | DVI-D, HDMI, VGA | 4*DDR4 DUAL CHANNEL UP TO 346...",0,3982.68,4617.60
"MOTHERBOARD:B550 GIGABYTE  GAMING X","GIGABYTE B550 GAMING X GAMING MOTHERBOARD | 1 YEAR WARRANTY | 1 WEEK REPLACEMENT",1,8048.56,8500.00
"MOTHERBOARD:B550M MAG BAZOOKA MSI","MSI MAG B550M BAZOOKA | AM4 | 4*DDR4-4400(OC) DUAL CHANNEL | 1*M.2 | NVME SSD READY | PCIE 4.0 R...",1,7301.925,8183.80
"MOTHERBOARD:B550M MSI PRO-VDH WIFI","MSI B550M PRO-VDH WIFI MOTHERBOARD AM4 | 1 YEAR WARRANTY | 1 WEEK REPLACEMENT",1,7198.36,7660.64
"MOTHERBOARD:FM2A68M-DG3+ ASROCK","ASROCK FM2A68M-DG3+ | FM2 100W | FM2+ 95W | A68H (BOLTON-D2H) | 2*DDR3 2400+(OC) | D-SUB, DVI-D ...",2,2239.44429,2994.08573
"MOTHERBOARD:GIGABYTE PRO B450 AUROS","GIGABYTE B450 AUROS PRO WIFI MATX GAMING AM4 DDR4 MOTHERBOARD",0,6879.60,7600.32
"MOTHERBOARD:H310M-H GIGABYTE 2.0 INTEL","Gigabyte GA-H310M-H 2.0 Intel H310 Ultra Durable motherboard | 6 MONTHS WARRANTY | 1 MONTH REPLA...",2,3135.00,3705.00
"MOTHERBOARD:MSI B450M PRO M2","MSI B450M PRO - M2 MAX SOCKET AM4 MOTHERBOARD",0,3889.60,4243.20
"MOTHERBOARD:MSI PRO-VH A320- PLUS SOCKET","MSI A320M PRO-PLUS SOCKET AM4 DDR4 MOTHERBOARD] 1 YEAR WARRANTY]15 DAYS OUTRIGHT REPLACEMENT",2,2784.60,3303.30
"MOUSE:PENBLE PB-60","PENBLE PB-60 SUNPLUS 169A IC RED LED DPI 800-1200-2000-3200 5M TIMES LIFE TIME GAMING MOUSE",2,288.00,330.00
"MOUSEPAD:ASSORTED MOUSE PAD","ASSORTED MOUSE PAD | NO WARRANTY",4,13.20,18.00
"MOUSEPAD:L11 MOUSE PAD","L11 MOUSE PAD",0,30.80,42.00
"MOUSEPAD:RAZER BIG","RAZER BIG MOUSEPAD",5,58.50,65.00
"MOUSEPAD:RAZER SMALL","RAZER SMALL MOUSEPAD",1,22.00,35.00
"POWER SUPPLY:450W CV450 80+ BRONZE CORSAIR","CORSAIR CV450 450W 80+ BRONZE CERTIFIED |  ATX V2.31",1,2750.00,3310.19
