"Item","Description","Quantity","Cost","BranchCost","Price"
"CHASSIS:COOLMAN STREAMER BLACK","COOLMAN STREAMER BLACK ATX GAMING CASE | RGB STRIP FRONT PANEL | TEMPERED GLASS SIDE PANEL | 3.5...",1,1438.00,1581.8,1941.30
"CHASSIS:COOLMAN STREAMER WHITE","COOLMAN STREAMER WHITE ATX GAMING CASE | RGB STRIP FRONT PANEL | TEMPERED GLASS SIDE PANEL | 3.5...",0,1438.00,1581.8,1941.30
"CHASSIS:DARKFLASH DLM21 BLACK","DARKFLASH DLM21 BLACK | 3 DAYS WARRANTY ON ELECTRONICS PARTS WITH BOX",1,1766.00,1942.6,2384.10
"CHASSIS:DARKFLASH DLM21 PINK","DARKFLASH DLM21 PINK CABINET TYPE TEMPERED GLASS | 1 MONTH WARRANTY ON ELECTRONIC PARTS ONLY",0,1873.00,2060.3,2528.55
"CHASSIS:DARKFLASH DLM22 PINK","DARKFLASH DLM22 PINK GAMING CASE M-ATX 4MM TEMPERED GLASS DOOR OPENING SIDE PANEL WITH MAGNETIC ...",0,1925.00,2117.5,2598.75
"CHASSIS:DARKFLASH DLM22 TIFANY BLUE","DARKFLASH DLM22 TIFANY BLUE GAMING CASE M-ATX 4MM TEMPERED GLASS DOOR OPENING SIDE PANEL WITH MA...",1,1925.00,2117.5,2598.75
"CHASSIS:DARKFLASH DLM23 BLACK","DARKFLASH DLM23 BLACK CABINET TYPE TEMPERED SIDE PANEL | 7 DAYS OUTRIGHT REPLACEMENT ONLY",2,1873.00,2060.3,2528.55
"CHASSIS:DARKFLASH DLM23 WHITE","DARKFLASH DLM23 WHITE | 3 DAYS WARRANTY ON ELECTRONICS PARTS WITH BOX",0,1980.00,2178,2673.00
"CHASSIS:DARKFLASH POLLUX BLACK MESH","DARKFLASH POLLUX BLACK MESH FRONT TEMPERED SIDE PANEL W/ 2PCS 14MM RAINBOW FAN",1,1766.00,1942.6,2384.10
"CHASSIS:DARKFLASH POLLUX WHITE MESH","DARKFLASH POLLUX WHITE TEMPERED SIDE PANEL WITH 2X 140MM FRONT RAINBOW FAN",0,1873.00,2060.3,2528.55
"CHASSIS:DARKFLASH WATER SQUARE 5","DARKFLASH WATER SQUARE 5 TEMPERED FRONT AND SIDE WITH 3PCS RGB FAN | 1 MONTH WARRANTY ON ELECTRO...",1,1766.00,1942.6,2384.10
"CHASSIS:DEEPCOOL MATREXX 55 MESH","DEEPCOOL MATREXX 55 MESH ADD-RGB 4F",0,3750.00,4125,4500.00
"CHASSIS:FUZION Z-001 TEMPERED GLASS","Z-001 FUZION REGULAR ATX TEMPERED GLASS W/PSU 700W AND 3x RGB FAN",3,1750.00,1925,2362.50
"CHASSIS:GAMEKM ICE DRILL BLACK","GAMEKM ICE DRILL BLACK MID TOWER GAMING CASE | ATX, MATX, MITX | TEMPERED GLASS SIDE PANEL | MES...",0,1039.50,1143.45,1403.33
"CHASSIS:GAMEKM ICE DRILL PINK","GAMEKM ICE DRILL PINK MID TOWER GAMING CASE | ATX, MATX, MITX | TEMPERED GLASS SIDE PANEL | MESH...",0,998.00,1097.8,1397.20
"CHASSIS:GAMEKM ICE DRILL WHITE","GAMEKM ICE DRILL WHITE MID TOWER GAMING CASE | ATX, MATX, MITX | TEMPERED GLASS SIDE PANEL | MES...",0,998.00,1097.8,1397.20
"CHASSIS:GSTORM HONEYCOMB","GSTORM HONEYCOMB MATX | 1 MONTH WARRANTY ON ELECTRONIC PARTS ONLY | 1 WEEK OUTRIGHT REPLACEMENT",0,720.00,792,1029.60
"CHASSIS:GSTORM MI-A2","GSTORM MI-A2 ACRYLIC SIDE PANEL | BLACK | IRON NET FRONT | MATX, MITX | NO FAN INCLUDED | 1 MONT...",0,509.00,559.9,727.87
"CHASSIS:GSTORM MI-A3","G-STORM MI-A3/ ACRYLIC SIDE PANEL/ BLACK/ IRON NET FRONT/ MATXT,MITXT/ NO FAN INCLUDED/ 1 MONTH ...",0,530.00,583,757.90
"CHASSIS:INPLAY ESPORT 02 BLACK","INPLAY ESPORT 02 BLACK RGB STRIP FITS TO ATX, MICRO ATX, MINI ATX | 1 MONTH WARRANTY | 1 WEEK OU...",0,1081.00,1189.1,1459.35
"CHASSIS:INPLAY ESPORT 03 PINK","INPLAY ESPORT 03 PINK TEMPERED SIDE PANEL W/ RGB STRIP FITS ATX, MICRO ATX, MINI ATX,  | 1 MONTH...",0,1034.00,1137.4,1395.90
"CHASSIS:INPLAY ESPORT 06 BLACK","INPLAY ESPORT 06 BLACK | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 ...",0,1078.00,1185.8,1455.30
"CHASSIS:INPLAY ESPORT 06 PINK","INPLAY ESPORT 06 PINK | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 D...",2,1149.00,1263.9,1551.15
"CHASSIS:INPLAY ESPORT 06 WHITE","INPLAY ESPORT 06 WHITE | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 ...",0,1149.00,1263.9,1551.15
"CHASSIS:INPLAY LITE X1","INPLAY LITE X1 PC CASE/ 1 MONTH WARRANTY ON ELECTRONIC PARTS ONLY",6,313.00,344.3,453.85
"CHASSIS:INPLAY METEOR 01","INPLAY METEOR 01 | ATX, MICRO ATX, MINI ITX | TEMEPERED GLASS SIDE PANEL & FRONT | 12CM*6 | 2*HD...",0,705.00,775.5,1008.15
"CHASSIS:INPLAY METEOR 03 WHITE","INPLAY METEOR 03 WHITE TEMPERED SIDE PANEL FITS RO ATX, MICRO ATX, MINI ATX NO FAN | 1 MONTH WAR...",0,1137.00,1250.7,1534.95
"CHASSIS:INPLAY METEOR 05","INPLAY METEOR 05 I ATX,MATX,MITX I TEMPERED SIDE PANEL I MESH FRONT",0,931.00,1024.1,1303.40
"CHASSIS:INPLAY WIND 01","INPLAY WIND 01 |  ACRYLIC SIDE PANEL | HONEYCOMB DESIGN | MICRO ATX | MINI-ITX | 2X120MM | 1X80M...",0,524.00,576.4,749.32
"CHASSIS:INPLAY WIND 02","INPLAY WIND 02 |  ACRYLIC SIDE PANEL PC CASE | 1 MONTH WARRANTY  1 WEEK OUTRIGHT REPLACEMENT ONLY",0,513.00,564.3,733.59
"CHASSIS:INTELLIGENT 5508 BLACK","INTELLIGENT 5508 BLACK MID-TOWER GAMING TEMPERED GLASS CASE W/ 700 WATTS 8CM FAN",0,1925.00,2117.5,2598.75
